,user,datetime,text,link,image,gif
12,raradiohead,2023-08-07T15:43:32.000Z,Radiohead Everything In Its Right Place$,/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1688576617143275521$/i/status/959132166520057856$/raradiohead/status/1688576617143275521/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/959129653758738432/pu/img/bqB21vZptcVRyhr4.jpg$,blob:https://twitter.com/7fc779af-8b68-4a4c-ba17-e83062d2bcef$
13,raradiohead,2023-08-06T14:42:08.000Z,"Radiohead
Creep$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1688198779487612928$/raradiohead/status/1688198779487612928/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1688198578614005760/pu/img/vx5IIg5bngl70Pie.jpg$,blob:https://twitter.com/bfca2e78-8cd3-4b87-b44f-7f7ad4e4db78$
14,raradiohead,2023-08-04T17:03:56.000Z,"Radiohead
Little by Little$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1687509687556780032$/raradiohead/status/1687509687556780032/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1687509588227366912/pu/img/yW0f5e9iMbP9JBgC.jpg$,blob:https://twitter.com/63f013bf-ef6d-432b-9a00-d30216d5ad7e$
15,raradiohead,2023-08-03T08:42:56.000Z,"Radiohead
Bullet Proof.. I Wish I Was$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1687021219080699904$/i/status/1539972544240816131$/raradiohead/status/1687021219080699904/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FV7PAj7aMAEOqd8.jpg$,blob:https://twitter.com/e3e07061-95ad-491d-a0c7-c62e86ad4253$
16,raradiohead,2023-08-01T00:39:44.000Z,"Radiohead
Just$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1686174839869247488$/i/status/1665554858576068608$/raradiohead/status/1686174839869247488/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1638191675783933952/pu/img/bv4BprXGvZtJNbEa.jpg$,blob:https://twitter.com/6fda78f5-8338-43b0-9ed4-6d320f5ea134$
17,raradiohead,2023-07-29T23:46:31.000Z,"Radiohead
Bloom (Colbert)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1685436674996948992$/raradiohead/status/1685436674996948992/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1685436533137100800/pu/img/zD_Qm2hOZU_ec6DD.jpg$,blob:https://twitter.com/0eb4906c-2559-4650-bcd0-11f441bbbbc5$
18,raradiohead,2023-07-27T16:19:45.000Z,"Radiohead 
True Love Waits$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1684599464760360961$/raradiohead/status/1684599464760360961/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1684599376226983936/pu/img/4QqmZTJJeyqc9EB0.jpg$,blob:https://twitter.com/f2fad556-131a-479b-b499-69cec5ac170c$
19,raradiohead,2023-07-27T00:49:41.000Z,"Radiohead
House Of Cards$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1684365406923018240$/raradiohead/status/1684365406923018240/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1684365360399798274/pu/img/x0fF72HC0uevXMup.jpg$,blob:https://twitter.com/80e99dd2-a376-4620-bc63-050d3856728c$
20,raradiohead,2023-07-25T07:19:52.000Z,"Thom Yorke
The Clock$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1683738821438107648$/raradiohead/status/1683738821438107648/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1683738787506180097/pu/img/tG2VrgekNDUMSzbp.jpg$,blob:https://twitter.com/d6b98b3b-456f-4842-9fa1-b33726e6d265$
21,raradiohead,2023-07-24T23:49:07.000Z,"Radiohead
Ceremony (Joy Division cover)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1683625387518201856$/i/status/1538306072158834688$/raradiohead/status/1683625387518201856/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1476590768861347842/pu/img/6is2JuK6NFnS_WRZ.jpg$,blob:https://twitter.com/936e8930-af36-4c11-b301-38d328f2b6d7$
